Nome;Numero;Posicao;Altura;Peso;DataNascimento;Equipe
"Pedro Alves";10;Armador;1.88;80.0;2005-02-10;"Curitiba Hawks"
"Marcos Lima";23;Ala;1.96;90.5;2004-06-15;"Curitiba Hawks"
"João Silva";7;Armador;1.85;78.0;2003-11-22;"Curitiba Hawks"
"Rafael Torres";5;Pivô;2.05;105.0;2002-04-03;"Curitiba Hawks"
"Bruno Castro";12;Ala-Pivô;1.99;95.0;2001-09-17;"Curitiba Hawks"
"Diego Ramos";4;Ala;1.93;88.0;2005-07-30;"Curitiba Hawks"
"Pedro Souza";9;Armador;1.86;79.0;2004-01-12;"Londrina Storm"
"Lucas Fernandes";15;Ala;1.97;91.0;2003-03-25;"Londrina Storm"
"Gustavo Pires";33;Pivô;2.08;110.0;2002-12-05;"Londrina Storm"
"Thiago Rocha";8;Armador;1.84;77.0;2005-05-19;"Londrina Storm"
"André Barbosa";21;Ala-Pivô;1.98;93.0;2001-08-08;"Londrina Storm"
"Felipe Nogueira";11;Ala;1.94;87.0;2004-10-14;"Londrina Storm"
"Rodrigo Melo";6;Armador;1.87;81.0;2003-02-28;"Maringá Tigers"
"Vinícius Costa";14;Ala;1.95;89.0;2002-06-11;"Maringá Tigers"
"Gabriel Santos";22;Pivô;2.06;108.0;2001-01-30;"Maringá Tigers"
"Leonardo Dias";3;Armador;1.83;76.0;2005-09-09;"Maringá Tigers"
"Matheus Ribeiro";17;Ala-Pivô;2.00;96.0;2003-07-21;"Maringá Tigers"
"Caio Moreira";19;Ala;1.92;85.0;2004-04-16;"Maringá Tigers"
"Eduardo Cardoso";13;Armador;1.89;82.0;2002-03-04;"Cascavel Eagles"
"Fábio Teixeira";25;Ala;1.96;90.0;2001-11-27;"Cascavel Eagles"
"Henrique Souza";30;Pivô;2.04;104.0;2003-05-08;"Cascavel Eagles"
"Igor Batista";2;Armador;1.85;78.5;2005-01-19;"Cascavel Eagles"
"Julio Farias";18;Ala-Pivô;1.99;94.0;2002-08-23;"Cascavel Eagles"
"Kaique Vieira";20;Ala;1.93;86.0;2004-12-02;"Cascavel Eagles"
"Luiz Gonçalves";16;Armador;1.86;79.5;2003-09-15;"Ponta Grossa Bulls"
"Marcelo Aguiar";24;Ala;1.97;92.0;2002-02-06;"Ponta Grossa Bulls"
"Nelson Prado";31;Pivô;2.07;107.0;2001-06-13;"Ponta Grossa Bulls"
"Otávio Correia";1;Armador;1.82;75.0;2005-03-27;"Ponta Grossa Bulls"
"Paulo Henrique";28;Ala-Pivô;2.01;97.0;2003-10-10;"Ponta Grossa Bulls"
"Rafael Duarte";26;Ala;1.94;87.5;2004-07-04;"Ponta Grossa Bulls"
"Samuel Lopes";27;Armador;1.88;80.0;2002-11-21;"Foz Panteras"
"Tiago Andrade";29;Ala;1.95;89.5;2003-04-17;"Foz Panteras"
"Vitor Hugo Reis";32;Pivô;2.03;103.0;2001-05-30;"Foz Panteras"
"William Santana";34;Armador;1.85;77.5;2005-08-08;"Foz Panteras"
"Alan Cavalcante";35;Ala-Pivô;1.98;93.5;2002-01-15;"Foz Panteras"
"Bernardo Xavier";36;Ala;1.92;85.5;2004-06-26;"Foz Panteras"
